"geo";"TIME_PERIOD";"values";"indicator"
"AT";2014-01-01;7127.6;"INTRA_EXP"
"AT";2014-02-01;7105.1;"INTRA_EXP"
"AT";2014-03-01;8153;"INTRA_EXP"
"AT";2014-04-01;7750.9;"INTRA_EXP"
"AT";2014-05-01;7385;"INTRA_EXP"
"AT";2014-06-01;7316;"INTRA_EXP"
"AT";2014-07-01;7791.5;"INTRA_EXP"
"AT";2014-08-01;6064.1;"INTRA_EXP"
"AT";2014-09-01;7970.5;"INTRA_EXP"
"AT";2014-10-01;8298.2;"INTRA_EXP"
"AT";2014-11-01;8056.3;"INTRA_EXP"
"AT";2014-12-01;6643.5;"INTRA_EXP"
"AT";2015-01-01;6968.7;"INTRA_EXP"
"AT";2015-02-01;7152.9;"INTRA_EXP"
"AT";2015-03-01;8289.3;"INTRA_EXP"
"AT";2015-04-01;7737.7;"INTRA_EXP"
"AT";2015-05-01;7152.1;"INTRA_EXP"
"AT";2015-06-01;8214.2;"INTRA_EXP"
"AT";2015-07-01;8018.9;"INTRA_EXP"
"AT";2015-08-01;6570.4;"INTRA_EXP"
"AT";2015-09-01;8175.5;"INTRA_EXP"
"AT";2015-10-01;8182.8;"INTRA_EXP"
"AT";2015-11-01;8626.2;"INTRA_EXP"
"AT";2015-12-01;7087.9;"INTRA_EXP"
"AT";2016-01-01;6950.8;"INTRA_EXP"
"AT";2016-02-01;7729.7;"INTRA_EXP"
"AT";2016-03-01;8244.1;"INTRA_EXP"
"AT";2016-04-01;8000.9;"INTRA_EXP"
"AT";2016-05-01;7508.6;"INTRA_EXP"
"AT";2016-06-01;8360.6;"INTRA_EXP"
"AT";2016-07-01;7382.3;"INTRA_EXP"
"AT";2016-08-01;6955.3;"INTRA_EXP"
"AT";2016-09-01;8183.8;"INTRA_EXP"
"AT";2016-10-01;7842;"INTRA_EXP"
"AT";2016-11-01;8500.2;"INTRA_EXP"
"AT";2016-12-01;7175.1;"INTRA_EXP"
"AT";2017-01-01;8625.4;"INTRA_EXP"
"AT";2017-02-01;8016.5;"INTRA_EXP"
"AT";2017-03-01;9135.1;"INTRA_EXP"
"AT";2017-04-01;7923.1;"INTRA_EXP"
"AT";2017-05-01;8893;"INTRA_EXP"
"AT";2017-06-01;8323.3;"INTRA_EXP"
"AT";2017-07-01;8236.7;"INTRA_EXP"
"AT";2017-08-01;7661.9;"INTRA_EXP"
"AT";2017-09-01;8788.9;"INTRA_EXP"
"AT";2017-10-01;9426.8;"INTRA_EXP"
"AT";2017-11-01;9464.8;"INTRA_EXP"
"AT";2017-12-01;7354.7;"INTRA_EXP"
"AT";2018-01-01;8746.6;"INTRA_EXP"
"AT";2018-02-01;8530.6;"INTRA_EXP"
"AT";2018-03-01;9958.9;"INTRA_EXP"
"AT";2018-04-01;8909.1;"INTRA_EXP"
"AT";2018-05-01;8895.7;"INTRA_EXP"
"AT";2018-06-01;9420.2;"INTRA_EXP"
"AT";2018-07-01;9006.4;"INTRA_EXP"
"AT";2018-08-01;7987.2;"INTRA_EXP"
"AT";2018-09-01;8812;"INTRA_EXP"
"AT";2018-10-01;9984.7;"INTRA_EXP"
"AT";2018-11-01;9614.5;"INTRA_EXP"
"AT";2018-12-01;7486.6;"INTRA_EXP"
"AT";2019-01-01;9120.8;"INTRA_EXP"
"AT";2019-02-01;9325.4;"INTRA_EXP"
"AT";2019-03-01;9633.4;"INTRA_EXP"
"AT";2019-04-01;9173.3;"INTRA_EXP"
"AT";2019-05-01;9372.8;"INTRA_EXP"
"AT";2019-06-01;8679.9;"INTRA_EXP"
"AT";2019-07-01;9454.4;"INTRA_EXP"
"AT";2019-08-01;7641.2;"INTRA_EXP"
"AT";2019-09-01;9256.8;"INTRA_EXP"
"AT";2019-10-01;10145.5;"INTRA_EXP"
"AT";2019-11-01;9037.7;"INTRA_EXP"
"AT";2019-12-01;7467.1;"INTRA_EXP"
"AT";2020-01-01;8814.1;"INTRA_EXP"
"AT";2020-02-01;8799.7;"INTRA_EXP"
"AT";2020-03-01;9449.7;"INTRA_EXP"
"AT";2020-04-01;7097.7;"INTRA_EXP"
"AT";2020-05-01;7038.9;"INTRA_EXP"
"AT";2020-06-01;8319.5;"INTRA_EXP"
"AT";2020-07-01;8926.9;"INTRA_EXP"
"AT";2020-08-01;7474.2;"INTRA_EXP"
"AT";2020-09-01;9220.8;"INTRA_EXP"
"AT";2020-10-01;9372.3;"INTRA_EXP"
"AT";2020-11-01;9454;"INTRA_EXP"
"AT";2020-12-01;7850;"INTRA_EXP"
"AT";2021-01-01;8325.1;"INTRA_EXP"
"AT";2021-02-01;8991.7;"INTRA_EXP"
"AT";2021-03-01;10988.8;"INTRA_EXP"
"AT";2021-04-01;9812.7;"INTRA_EXP"
"AT";2021-05-01;9568.4;"INTRA_EXP"
"AT";2021-06-01;10200.4;"INTRA_EXP"
"AT";2021-07-01;9978;"INTRA_EXP"
"AT";2021-08-01;8665.6;"INTRA_EXP"
"AT";2021-09-01;10671.1;"INTRA_EXP"
"AT";2021-10-01;10229.7;"INTRA_EXP"
"AT";2021-11-01;11327.9;"INTRA_EXP"
"AT";2021-12-01;9779.9;"INTRA_EXP"
"AT";2022-01-01;10516.1;"INTRA_EXP"
"AT";2022-02-01;10981.8;"INTRA_EXP"
"AT";2022-03-01;13046.5;"INTRA_EXP"
"AT";2022-04-01;11355;"INTRA_EXP"
"AT";2022-05-01;12234.7;"INTRA_EXP"
"AT";2022-06-01;12009.8;"INTRA_EXP"
"AT";2022-07-01;11164.2;"INTRA_EXP"
"AT";2022-08-01;10523.8;"INTRA_EXP"
"AT";2022-09-01;12822.2;"INTRA_EXP"
"AT";2022-10-01;12080.8;"INTRA_EXP"
"AT";2022-11-01;13064.6;"INTRA_EXP"
"AT";2022-12-01;10460.9;"INTRA_EXP"
"AT";2023-01-01;11646.1;"INTRA_EXP"
"AT";2023-02-01;11601.9;"INTRA_EXP"
"AT";2023-03-01;14565.7;"INTRA_EXP"
"AT";2023-04-01;12002.2;"INTRA_EXP"
"AT";2023-05-01;12192.6;"INTRA_EXP"
"AT";2023-06-01;12202.2;"INTRA_EXP"
"AT";2023-07-01;11314;"INTRA_EXP"
"AT";2023-08-01;10176.3;"INTRA_EXP"
"AT";2023-09-01;11752.4;"INTRA_EXP"
"AT";2023-10-01;12689.3;"INTRA_EXP"
"AT";2023-11-01;14044.1;"INTRA_EXP"
"AT";2023-12-01;9608.4;"INTRA_EXP"
"AT";2024-01-01;11243.4;"INTRA_EXP"
"AT";2024-02-01;11708.9;"INTRA_EXP"
"AT";2024-03-01;11599.1;"INTRA_EXP"
"AT";2024-04-01;11491;"INTRA_EXP"
"AT";2024-05-01;10905.3;"INTRA_EXP"
"AT";2024-06-01;11562.9;"INTRA_EXP"
"AT";2024-07-01;12037.7;"INTRA_EXP"
"AT";2024-08-01;9400;"INTRA_EXP"
"AT";2024-09-01;11459.3;"INTRA_EXP"
"AT";2024-10-01;12706.8;"INTRA_EXP"
"BE";2014-01-01;18710.4;"INTRA_EXP"
"BE";2014-02-01;17842.7;"INTRA_EXP"
"BE";2014-03-01;19471.7;"INTRA_EXP"
"BE";2014-04-01;18887.4;"INTRA_EXP"
"BE";2014-05-01;18227.6;"INTRA_EXP"
"BE";2014-06-01;18535.4;"INTRA_EXP"
"BE";2014-07-01;18388.7;"INTRA_EXP"
"BE";2014-08-01;16365.8;"INTRA_EXP"
